method,iterations,threads,final_value,time_init,time_thread_create,time_compute,time_thread_join,time_cleanup,time_total,verification,user
mutex,100000,1,100000,1e-05,3.2e-05,0.000121,0.0,0.0,0.000163,PASS,phoebus
rwlock,100000,1,100000,1.2e-05,3.9e-05,5.5e-05,0.0,0.0,0.000108,PASS,phoebus
atomic,100000,1,100000,1.1e-05,9.8e-05,1e-06,0.0,0.0,0.00011,PASS,phoebus
mutex,100000,2,200000,8e-06,4.8e-05,4.8e-05,0.0,0.0,0.000104,PASS,phoebus
rwlock,100000,2,200000,9e-06,5.5e-05,3.1e-05,0.0,0.0,9.7e-05,PASS,phoebus
atomic,100000,2,200000,1.5e-05,9.5e-05,5.9e-05,0.0,0.0,0.000169,PASS,phoebus
mutex,100000,4,400000,4.2e-05,0.000214,8.1e-05,0.0,0.0,0.000337,PASS,phoebus
rwlock,100000,4,400000,9e-06,0.00013,2.3e-05,1e-06,0.0,0.000165,PASS,phoebus
atomic,100000,4,400000,1.5e-05,0.000258,0.000841,0.0,0.0,0.001115,PASS,phoebus
mutex,100000,8,800000,1.4e-05,0.000218,0.000197,1e-06,0.0,0.00043,PASS,phoebus
rwlock,100000,8,800000,1e-05,0.00035,0.000107,0.0,0.0,0.000469,PASS,phoebus
atomic,100000,8,800000,9e-06,0.00024,0.000196,1e-06,0.0,0.000446,PASS,phoebus
mutex,100000,16,1600000,9e-06,0.000478,0.000166,0.0,0.0,0.000653,PASS,phoebus
rwlock,100000,16,1600000,1e-05,0.000524,0.000211,0.0,0.0,0.000748,PASS,phoebus
atomic,100000,16,1600000,1e-05,0.001577,0.000166,0.0,1e-06,0.001754,PASS,phoebus
mutex,1000000,1,1000000,9e-06,3.8e-05,0.000111,0.0,0.0,0.000158,PASS,phoebus
rwlock,1000000,1,1000000,1.4e-05,5.8e-05,0.0001,0.0,0.0,0.000175,PASS,phoebus
atomic,1000000,1,1000000,1.1e-05,5.2e-05,0.000119,0.0,0.0,0.000182,PASS,phoebus
mutex,1000000,2,2000000,9e-06,6e-05,0.00014,0.0,0.0,0.000209,PASS,phoebus
rwlock,1000000,2,2000000,1.1e-05,7.8e-05,3.2e-05,0.0,0.0,0.000123,PASS,phoebus
atomic,1000000,2,2000000,8e-06,0.000104,2.5e-05,0.0,0.0,0.000137,PASS,phoebus
mutex,1000000,4,4000000,1e-05,0.000152,0.000104,1e-06,0.0,0.000267,PASS,phoebus
rwlock,1000000,4,4000000,9e-06,0.000165,0.00012,0.0,0.0,0.000296,PASS,phoebus
atomic,1000000,4,4000000,1.4e-05,0.000203,6.9e-05,0.0,1e-06,0.000287,PASS,phoebus
mutex,1000000,8,8000000,8e-06,0.000255,0.000132,0.0,0.0,0.000395,PASS,phoebus
rwlock,1000000,8,8000000,1e-05,0.000287,0.000143,0.0,0.0,0.000442,PASS,phoebus
atomic,1000000,8,8000000,9e-06,0.000284,0.000138,0.0,0.0,0.000431,PASS,phoebus
mutex,1000000,16,16000000,4e-05,0.000423,0.000145,0.0,0.0,0.000609,PASS,phoebus
rwlock,1000000,16,16000000,9e-06,0.000669,0.000136,0.0,0.0,0.000816,PASS,phoebus
atomic,1000000,16,16000000,9e-06,0.000425,0.000195,0.0,0.0,0.00063,PASS,phoebus
mutex,100000,1,100000,9e-06,3.5e-05,9e-05,0.0,0.0,0.000134,PASS,phoebus
rwlock,100000,1,100000,1e-05,3.2e-05,0.000107,0.0,0.0,0.000151,PASS,phoebus
atomic,100000,1,100000,1.3e-05,3.5e-05,0.000979,0.0,0.0,0.001027,PASS,phoebus
mutex,100000,2,200000,9e-06,5e-05,3.1e-05,0.0,0.0,9e-05,PASS,phoebus
rwlock,100000,2,200000,8e-06,5.7e-05,0.000139,0.0,0.0,0.000206,PASS,phoebus
atomic,100000,2,200000,2.1e-05,8.1e-05,7.3e-05,0.0,0.0,0.000175,PASS,phoebus
mutex,100000,4,400000,1.1e-05,0.000257,7.5e-05,0.0,0.0,0.000343,PASS,phoebus
rwlock,100000,4,400000,1.1e-05,0.000189,8.6e-05,1e-06,0.0,0.00029,PASS,phoebus
atomic,100000,4,400000,4.8e-05,0.000234,7.9e-05,0.0,0.0,0.000361,PASS,phoebus
mutex,100000,8,800000,9e-06,0.000252,0.000143,0.0,0.0,0.000404,PASS,phoebus
rwlock,100000,8,800000,9e-06,0.000304,0.000134,1e-06,0.0,0.00045,PASS,phoebus
atomic,100000,8,800000,8e-06,0.000253,9.1e-05,0.0,0.0,0.000352,PASS,phoebus
mutex,100000,16,1600000,8e-06,0.000507,0.000193,0.0,0.0,0.000708,PASS,phoebus
rwlock,100000,16,1600000,8e-06,0.000407,0.00017,0.0,1e-06,0.000588,PASS,phoebus
atomic,100000,16,1600000,1e-05,0.000479,0.000164,0.0,0.0,0.000653,PASS,phoebus
mutex,1000000,1,1000000,8e-06,3.1e-05,0.000102,0.0,0.0,0.000141,PASS,phoebus
rwlock,1000000,1,1000000,8e-06,2.9e-05,7.5e-05,1e-06,0.0,0.000115,PASS,phoebus
atomic,1000000,1,1000000,9e-06,3.1e-05,0.000118,0.0,0.0,0.000158,PASS,phoebus
mutex,1000000,2,2000000,7e-06,5.6e-05,8.2e-05,0.0,0.0,0.000145,PASS,phoebus
rwlock,1000000,2,2000000,8e-06,5e-05,7.5e-05,1e-06,0.0,0.000136,PASS,phoebus
atomic,1000000,2,2000000,1e-05,5.3e-05,6.4e-05,0.0,0.0,0.000127,PASS,phoebus
mutex,1000000,4,4000000,9e-06,0.000154,9.9e-05,0.0,0.0,0.000262,PASS,phoebus
