version,size,arr0,arr1,arr2,arr3,time_alloc,time_init,time_seq_baseline,time_thread_create,time_compute,time_thread_join,time_cleanup,time_total,verification,user
sequential,100000,90000,90000,90000,90000,0.000021,0.001037,0.0,0.0,0.000157,0.0,0.0,0.001309,PASS,phoebus
parallel_unpadded,100000,90000,90000,90000,90000,0.000021,0.000905,0.0,0.000000,0.000458,0.000107,0.000000,0.001491,PASS,phoebus
parallel_padded,100000,90000,90000,90000,90000,0.000023,0.001152,0.0,0.000000,0.000330,0.000139,0.000000,0.001644,PASS,phoebus
parallel_local_accum,100000,90000,90000,90000,90000,0.000024,0.000929,0.0,0.000000,0.000258,0.000102,0.000000,0.001313,PASS,phoebus
sequential,1000000,900000,900000,900000,900000,0.000025,0.008816,0.0,0.0,0.001841,0.0,0.0,0.011468,PASS,phoebus
parallel_unpadded,1000000,900000,900000,900000,900000,0.000025,0.010772,0.0,0.000000,0.004656,0.001034,0.000000,0.016487,PASS,phoebus
parallel_padded,1000000,900000,900000,900000,900000,0.000031,0.013798,0.0,0.000000,0.004308,0.001108,0.000000,0.019245,PASS,phoebus
parallel_local_accum,1000000,900000,900000,900000,900000,0.000030,0.011532,0.0,0.000000,0.001116,0.000933,0.000000,0.013611,PASS,phoebus
sequential,10000000,9000000,9000000,9000000,9000000,0.000024,0.090873,0.0,0.0,0.016659,0.0,0.0,0.113149,PASS,phoebus
parallel_unpadded,10000000,9000000,9000000,9000000,9000000,0.000022,0.096220,0.0,0.000000,0.027872,0.006876,0.000000,0.130990,PASS,phoebus
parallel_padded,10000000,9000000,9000000,9000000,9000000,0.000076,0.096702,0.0,0.000000,0.016794,0.007060,0.000000,0.120632,PASS,phoebus
parallel_local_accum,10000000,9000000,9000000,9000000,9000000,0.000022,0.088909,0.0,0.000000,0.008170,0.008207,0.000001,0.105309,PASS,phoebus
sequential,50000000,45000000,45000000,45000000,45000000,0.000025,0.842908,0.0,0.0,0.080704,0.0,0.0,0.953560,PASS,phoebus
parallel_unpadded,50000000,45000000,45000000,45000000,45000000,0.000022,0.505206,0.0,0.000000,0.171323,0.033250,0.000000,0.709801,PASS,phoebus
parallel_padded,50000000,45000000,45000000,45000000,45000000,0.000022,0.595974,0.0,0.000000,0.115598,0.030667,0.000000,0.742261,PASS,phoebus
parallel_local_accum,50000000,45000001,45000000,45000000,45000000,0.000023,0.456831,0.0,0.000000,0.035682,0.031489,0.000000,0.524025,PASS,phoebus
sequential,100000000,90000001,90000000,90000000,90000000,0.000025,1.693628,0.0,0.0,0.168415,0.0,0.0,1.922752,PASS,phoebus
parallel_unpadded,100000000,90000000,90000000,90000000,90000000,0.000024,0.983650,0.0,0.000000,0.193692,0.059555,0.000000,1.236921,PASS,phoebus
parallel_padded,100000000,90000000,90000000,90000000,90000000,0.000026,0.868100,0.0,0.000000,0.276122,0.060645,0.000000,1.204893,PASS,phoebus
parallel_local_accum,100000000,90000000,90000000,90000000,90000000,0.000022,0.858707,0.0,0.000000,0.069749,0.060267,0.000001,0.988746,PASS,phoebus
sequential,100000,90000,90000,90000,90000,0.000027,0.000847,0.0,0.0,0.000157,0.0,0.0,0.001119,PASS,phoebus
parallel_unpadded,100000,90000,90000,90000,90000,0.000021,0.000854,0.0,0.000000,0.000652,0.000087,0.000000,0.001614,PASS,phoebus
parallel_padded,100000,90000,90000,90000,90000,0.000022,0.000800,0.0,0.000000,0.000387,0.000077,0.000000,0.001286,PASS,phoebus
parallel_local_accum,100000,90000,90000,90000,90000,0.000022,0.002306,0.0,0.000000,0.000336,0.000086,0.000000,0.002750,PASS,phoebus
sequential,1000000,900000,900000,900000,900000,0.000030,0.013624,0.0,0.0,0.002383,0.0,0.0,0.016588,PASS,phoebus
parallel_unpadded,1000000,900000,900000,900000,900000,0.000023,0.008391,0.0,0.000000,0.004776,0.000669,0.000000,0.013859,PASS,phoebus
parallel_padded,1000000,900000,900000,900000,900000,0.000026,0.010913,0.0,0.000000,0.008220,0.000629,0.000000,0.019788,PASS,phoebus
parallel_local_accum,1000000,900000,900000,900000,900000,0.000027,0.008460,0.0,0.000000,0.001685,0.000621,0.000000,0.010793,PASS,phoebus
sequential,10000000,9000000,9000000,9000000,9000000,0.000025,0.096961,0.0,0.0,0.016579,0.0,0.0,0.119988,PASS,phoebus
parallel_unpadded,10000000,9000000,9000000,9000000,9000000,0.000023,0.086584,0.0,0.000000,0.023594,0.005808,0.000000,0.116009,PASS,phoebus
parallel_padded,10000000,9000000,9000000,9000000,9000000,0.000022,0.088107,0.0,0.000000,0.024836,0.007125,0.000000,0.120090,PASS,phoebus
parallel_local_accum,10000000,9000000,9000000,9000000,9000000,0.000022,0.088065,0.0,0.000000,0.012752,0.006357,0.000000,0.107196,PASS,phoebus
sequential,50000000,45000000,45000000,45000000,45000000,0.000032,0.439987,0.0,0.0,0.104265,0.0,0.0,0.582282,PASS,phoebus
parallel_unpadded,50000000,45000000,45000000,45000000,45000000,0.000026,0.437723,0.0,0.000000,0.114157,0.032180,0.000000,0.584086,PASS,phoebus
parallel_padded,50000000,45000000,45000000,45000000,45000000,0.000022,0.444157,0.0,0.000000,0.124951,0.031365,0.000000,0.600495,PASS,phoebus
parallel_local_accum,50000000,45000000,45000000,45000000,45000000,0.000022,0.443760,0.0,0.000000,0.036554,0.037345,0.000000,0.517681,PASS,phoebus
sequential,100000000,90000000,90000000,90000000,90000001,0.000029,0.896627,0.0,0.0,0.153569,0.0,0.0,1.110572,PASS,phoebus
parallel_unpadded,100000000,90000000,90000000,90000000,90000000,0.000021,0.881562,0.0,0.000000,0.216226,0.062735,0.000000,1.160544,PASS,phoebus
parallel_padded,100000000,90000000,90000000,90000000,90000000,0.000022,0.867914,0.0,0.000000,0.223457,0.061339,0.000000,1.152732,PASS,phoebus
parallel_local_accum,100000000,90000000,90000000,90000000,90000000,0.000023,0.860586,0.0,0.000000,0.065009,0.064572,0.000000,0.990190,PASS,phoebus
sequential,100000,90000,90000,90000,90000,0.000024,0.000896,0.0,0.0,0.000190,0.0,0.0,0.001180,PASS,phoebus
parallel_unpadded,100000,90000,90000,90000,90000,0.000026,0.000827,0.0,0.000000,0.000698,0.000127,0.000000,0.001678,PASS,phoebus
