degree,threads,time_alloc,time_init,time_compute,time_verify,time_cleanup,time_total,verification,user
5000,sequential,0.000261,0.000250,0.039365,0.000000,0.000001,0.039877,PASS,ea24205
5000,1,0.000033,0.000078,0.016915,0.014541,0.000000,0.031567,PASS,ea24205
5000,2,0.000023,0.000055,0.006647,0.014585,0.000000,0.021310,PASS,ea24205
5000,4,0.000025,0.000061,0.005209,0.015153,0.000001,0.020449,PASS,ea24205
5000,8,0.000027,0.000061,0.003766,0.015280,0.000000,0.019134,PASS,ea24205
5000,16,0.000028,0.000061,0.004372,0.015805,0.000000,0.020266,PASS,ea24205
20000,sequential,0.000047,0.000276,0.208279,0.000000,0.000019,0.208621,PASS,ea24205
20000,1,0.000009,0.000242,0.200887,0.226634,0.000010,0.427782,PASS,ea24205
20000,2,0.000021,0.000539,0.106771,0.225649,0.000011,0.332991,PASS,ea24205
20000,4,0.000009,0.000242,0.080696,0.227177,0.000011,0.308135,PASS,ea24205
20000,8,0.000016,0.000433,0.071472,0.225245,0.000008,0.297174,PASS,ea24205
20000,16,0.000009,0.000241,0.058924,0.226954,0.000012,0.286140,PASS,ea24205
80000,sequential,0.000042,0.000973,3.289967,0.000000,0.000075,3.291057,PASS,ea24205
80000,1,0.000010,0.001041,3.302817,3.624061,0.000063,6.927992,PASS,ea24205
80000,2,0.000011,0.000972,1.698322,3.633649,0.000058,5.333012,PASS,ea24205
80000,4,0.000010,0.001015,1.304594,3.643740,0.000058,4.949418,PASS,ea24205
80000,8,0.000011,0.000973,0.991244,3.619105,0.000057,4.611390,PASS,ea24205
80000,16,0.000010,0.000977,0.928531,3.620225,0.000065,4.549808,PASS,ea24205
100000,sequential,0.000047,0.001214,5.123328,0.000000,0.000071,5.124660,PASS,ea24205
100000,1,0.000011,0.001252,5.147806,5.672461,0.000125,10.821656,PASS,ea24205
100000,2,0.000011,0.001218,2.649969,5.663247,0.000070,8.314515,PASS,ea24205
100000,4,0.000024,0.002755,2.031885,5.657023,0.000076,7.691763,PASS,ea24205
100000,8,0.000023,0.002732,1.654172,5.663218,0.000074,7.320219,PASS,ea24205
100000,16,0.000011,0.001218,1.443245,5.699421,0.000080,7.143975,PASS,ea24205
5000,sequential,0.000207,0.000201,0.015654,0.000000,0.000000,0.016062,PASS,ea24205
5000,1,0.000022,0.000055,0.012630,0.015251,0.000001,0.027959,PASS,ea24205
5000,2,0.000067,0.000163,0.009234,0.014699,0.000000,0.024164,PASS,ea24205
5000,4,0.000023,0.000055,0.005282,0.015361,0.000000,0.020721,PASS,ea24205
5000,8,0.000024,0.000054,0.004327,0.015022,0.000000,0.019427,PASS,ea24205
5000,16,0.000023,0.000055,0.004625,0.015319,0.000000,0.020022,PASS,ea24205
20000,sequential,0.000051,0.000269,0.202577,0.000000,0.000016,0.202913,PASS,ea24205
20000,1,0.000009,0.000301,0.201310,0.224493,0.000008,0.426121,PASS,ea24205
20000,2,0.000017,0.000446,0.107335,0.225724,0.000011,0.333533,PASS,ea24205
20000,4,0.000009,0.000242,0.079845,0.226139,0.000008,0.306243,PASS,ea24205
20000,8,0.000009,0.000241,0.063968,0.226967,0.000012,0.291197,PASS,ea24205
20000,16,0.000027,0.000667,0.063916,0.232019,0.000019,0.296648,PASS,ea24205
80000,sequential,0.000047,0.001000,3.324244,0.000000,0.000059,3.325350,PASS,ea24205
80000,1,0.000011,0.000978,3.290953,3.629876,0.000061,6.921879,PASS,ea24205
80000,2,0.000011,0.001064,1.696738,3.631164,0.000065,5.329042,PASS,ea24205
80000,4,0.000018,0.001758,1.298083,3.616010,0.000063,4.915932,PASS,ea24205
80000,8,0.000010,0.000975,1.041872,3.617082,0.000067,4.660006,PASS,ea24205
80000,16,0.000010,0.000977,0.941286,3.611220,0.000065,4.553558,PASS,ea24205
100000,sequential,0.000118,0.001458,5.121818,0.000000,0.000071,5.123465,PASS,ea24205
100000,1,0.000030,0.002872,5.138015,5.659705,0.000073,10.800695,PASS,ea24205
100000,2,0.000031,0.003568,2.651659,5.656221,0.000071,8.311550,PASS,ea24205
100000,4,0.000023,0.002508,2.031870,5.666842,0.000075,7.701318,PASS,ea24205
100000,8,0.000011,0.001302,1.703902,5.670520,0.000082,7.375817,PASS,ea24205
100000,16,0.000010,0.001269,1.445330,5.671709,0.000080,7.118398,PASS,ea24205
5000,sequential,0.000186,0.000183,0.035948,0.000000,0.000001,0.036318,PASS,ea24205
5000,1,0.000034,0.000082,0.014077,0.014216,0.000000,0.028409,PASS,ea24205
5000,2,0.000023,0.000054,0.006557,0.014929,0.000000,0.021563,PASS,ea24205
5000,4,0.000080,0.000195,0.016995,0.024899,0.000001,0.042170,PASS,ea24205
5000,8,0.000024,0.000054,0.005370,0.014446,0.000000,0.019894,PASS,ea24205
5000,16,0.000023,0.000055,0.004643,0.014866,0.000000,0.019587,PASS,ea24205
20000,sequential,0.000177,0.000956,0.225067,0.000000,0.000020,0.226220,PASS,ea24205
20000,1,0.000009,0.000245,0.201412,0.225859,0.000010,0.427535,PASS,ea24205
20000,2,0.000009,0.000242,0.104916,0.225926,0.000011,0.331104,PASS,ea24205
20000,4,0.000025,0.000306,0.079658,0.226874,0.000009,0.306872,PASS,ea24205
20000,8,0.000009,0.000243,0.067945,0.225779,0.000012,0.293988,PASS,ea24205
20000,16,0.000010,0.000242,0.059946,0.226191,0.000010,0.286399,PASS,ea24205
80000,sequential,0.000047,0.000985,3.286264,0.000000,0.000065,3.287361,PASS,ea24205
80000,1,0.000011,0.000982,3.294223,3.625787,0.000055,6.921058,PASS,ea24205
80000,2,0.000010,0.000976,1.695797,3.626956,0.000062,5.323801,PASS,ea24205
80000,4,0.000032,0.002300,1.300144,3.619653,0.000063,4.922192,PASS,ea24205
80000,8,0.000023,0.002175,1.016625,3.640259,0.000061,4.659143,PASS,ea24205
80000,16,0.000010,0.000976,0.919938,3.614031,0.000068,4.535024,PASS,ea24205
100000,sequential,0.000107,0.002733,5.132280,0.000000,0.000074,5.135194,PASS,ea24205
100000,1,0.000031,0.003485,5.131820,5.661791,0.000074,10.797201,PASS,ea24205
100000,2,0.000019,0.002177,2.655976,5.656390,0.000068,8.314630,PASS,ea24205
100000,4,0.000011,0.001212,2.022729,5.656205,0.000071,7.680228,PASS,ea24205
100000,8,0.000010,0.001229,1.665537,5.650623,0.000077,7.317476,PASS,ea24205
100000,16,0.000020,0.001270,1.475776,5.645568,0.000076,7.122711,PASS,ea24205
5000,sequential,0.000184,0.000182,0.015382,0.000000,0.000001,0.015749,PASS,ea24205
5000,1,0.000074,0.000177,0.032150,0.017039,0.000001,0.049441,PASS,ea24205
5000,2,0.000023,0.000055,0.006570,0.014568,0.000000,0.021216,PASS,ea24205
5000,4,0.000024,0.000054,0.005266,0.015242,0.000000,0.020586,PASS,ea24205
5000,8,0.000024,0.000055,0.005069,0.014671,0.000000,0.019820,PASS,ea24205
5000,16,0.000025,0.000054,0.004608,0.015159,0.000001,0.019847,PASS,ea24205
20000,sequential,0.000047,0.000250,0.201379,0.000000,0.000015,0.201691,PASS,ea24205
20000,1,0.000009,0.000243,0.201344,0.225315,0.000009,0.426921,PASS,ea24205
20000,2,0.000010,0.000243,0.104071,0.225965,0.000011,0.330300,PASS,ea24205
20000,4,0.000010,0.000242,0.080293,0.226772,0.000010,0.307327,PASS,ea24205
20000,8,0.000010,0.000242,0.070806,0.225488,0.000008,0.296554,PASS,ea24205
20000,16,0.000020,0.000541,0.065768,0.224772,0.000009,0.291110,PASS,ea24205
80000,sequential,0.000123,0.002497,3.278729,0.000000,0.000062,3.281411,PASS,ea24205
80000,1,0.000024,0.002184,3.288297,3.617915,0.000057,6.908477,PASS,ea24205
80000,2,0.000022,0.001974,1.691668,3.616312,0.000061,5.310037,PASS,ea24205
80000,4,0.000030,0.002380,1.296566,3.621828,0.000060,4.920864,PASS,ea24205
80000,8,0.000024,0.002185,0.953861,3.622440,0.000069,4.578579,PASS,ea24205
80000,16,0.000010,0.000980,0.947076,3.625132,0.000063,4.573261,PASS,ea24205
100000,sequential,0.000045,0.001271,5.121593,0.000000,0.000074,5.122983,PASS,ea24205
100000,1,0.000012,0.001217,5.141682,5.652914,0.000079,10.795904,PASS,ea24205
