n,threads,sparsity,reps,nnz,time_init,time_csr_construct,time_spmv_total,time_dense_total,verification,user
1000,sequential,0,1,1000000,0.011319,0.003827,0.000665,0.000531,PASS,phoebus
1000,2,0,1,1000000,0.007518,0.002397,0.000397,0.000299,PASS,phoebus
1000,4,0,1,1000000,0.005191,0.005176,0.000437,0.000237,PASS,phoebus
1000,8,0,1,1000000,0.002816,0.001815,0.000289,0.000296,PASS,phoebus
1000,sequential,0,5,1000000,0.009668,0.004155,0.003120,0.003319,PASS,phoebus
1000,2,0,5,1000000,0.010430,0.002348,0.001856,0.001081,PASS,phoebus
1000,4,0,5,1000000,0.003234,0.001971,0.001832,0.001651,PASS,phoebus
1000,8,0,5,1000000,0.003046,0.002316,0.001728,0.001356,PASS,phoebus
1000,sequential,0,10,1000000,0.009415,0.004498,0.005711,0.005914,PASS,phoebus
1000,2,0,10,1000000,0.006526,0.002017,0.003164,0.002171,PASS,phoebus
1000,4,0,10,1000000,0.003231,0.001423,0.002998,0.002086,PASS,phoebus
1000,8,0,10,1000000,0.003093,0.001300,0.003128,0.005671,PASS,phoebus
1000,sequential,50,1,499790,0.011739,0.005209,0.000289,0.000466,PASS,phoebus
1000,2,50,1,499790,0.005919,0.002646,0.000135,0.000207,PASS,phoebus
1000,4,50,1,499790,0.003255,0.001340,0.000078,0.000146,PASS,phoebus
1000,8,50,1,499790,0.003512,0.001757,0.000206,0.000267,PASS,phoebus
1000,sequential,50,5,499790,0.011596,0.005072,0.001317,0.002110,PASS,phoebus
1000,2,50,5,499790,0.005864,0.002636,0.000698,0.001045,PASS,phoebus
1000,4,50,5,499790,0.003229,0.001462,0.000378,0.000557,PASS,phoebus
1000,8,50,5,499790,0.003705,0.002063,0.001129,0.001486,PASS,phoebus
1000,sequential,50,10,499790,0.011577,0.005208,0.002643,0.004218,PASS,phoebus
1000,2,50,10,499790,0.007291,0.002975,0.001570,0.002217,PASS,phoebus
1000,4,50,10,499790,0.003744,0.001703,0.005505,0.002375,PASS,phoebus
1000,8,50,10,499790,0.005775,0.003768,0.010437,0.016347,PASS,phoebus
1000,sequential,90,1,99877,0.008059,0.002643,0.000060,0.000443,PASS,phoebus
1000,2,90,1,99877,0.003398,0.001083,0.000040,0.000224,PASS,phoebus
1000,4,90,1,99877,0.012040,0.011992,0.005954,0.004055,PASS,phoebus
1000,8,90,1,99877,0.001994,0.000678,0.000106,0.000198,PASS,phoebus
1000,sequential,90,5,99877,0.006777,0.002051,0.000281,0.002068,PASS,phoebus
1000,2,90,5,99877,0.003364,0.001078,0.000147,0.001083,PASS,phoebus
1000,4,90,5,99877,0.001795,0.000539,0.000072,0.000488,PASS,phoebus
1000,8,90,5,99877,0.002160,0.001716,0.000365,0.001441,PASS,phoebus
1000,sequential,90,10,99877,0.006865,0.002310,0.000650,0.006070,PASS,phoebus
1000,2,90,10,99877,0.003706,0.001220,0.001419,0.003974,PASS,phoebus
1000,4,90,10,99877,0.002368,0.000773,0.000322,0.007229,PASS,phoebus
1000,8,90,10,99877,0.002411,0.002517,0.003757,0.010882,PASS,phoebus
1000,sequential,95,1,49623,0.007029,0.003153,0.000052,0.001124,PASS,phoebus
1000,2,95,1,49623,0.003118,0.001016,0.000021,0.000391,PASS,phoebus
1000,4,95,1,49623,0.001674,0.000359,0.000009,0.000097,PASS,phoebus
1000,8,95,1,49623,0.002037,0.000681,0.000127,0.000270,PASS,phoebus
1000,sequential,95,5,49623,0.005887,0.002046,0.000160,0.003848,PASS,phoebus
1000,2,95,5,49623,0.003657,0.000955,0.000091,0.002188,PASS,phoebus
1000,4,95,5,49623,0.001637,0.000584,0.000165,0.003704,PASS,phoebus
1000,8,95,5,49623,0.001976,0.000818,0.000531,0.001197,PASS,phoebus
1000,sequential,95,10,49623,0.006061,0.001652,0.000342,0.004474,PASS,phoebus
1000,2,95,10,49623,0.004247,0.000824,0.000420,0.005429,PASS,phoebus
1000,4,95,10,49623,0.001667,0.000367,0.000281,0.002483,PASS,phoebus
1000,8,95,10,49623,0.001797,0.000722,0.001153,0.002892,PASS,phoebus
1000,sequential,99,1,9838,0.005674,0.001109,0.000010,0.000396,PASS,phoebus
1000,2,99,1,9838,0.002831,0.000939,0.000007,0.000289,PASS,phoebus
1000,4,99,1,9838,0.001654,0.000886,0.000006,0.000209,PASS,phoebus
1000,8,99,1,9838,0.001728,0.000651,0.000104,0.000197,PASS,phoebus
1000,sequential,99,5,9838,0.006084,0.001266,0.000052,0.002916,PASS,phoebus
1000,2,99,5,9838,0.002775,0.000913,0.000038,0.002263,PASS,phoebus
1000,4,99,5,9838,0.001561,0.000306,0.000043,0.000546,PASS,phoebus
1000,8,99,5,9838,0.002180,0.000878,0.000344,0.001690,PASS,phoebus
1000,sequential,99,10,9838,0.005393,0.001025,0.000095,0.004219,PASS,phoebus
1000,2,99,10,9838,0.004712,0.001007,0.000076,0.002462,PASS,phoebus
1000,4,99,10,9838,0.003250,0.000665,0.000085,0.002189,PASS,phoebus
1000,8,99,10,9838,0.001965,0.002028,0.000598,0.002987,PASS,phoebus
2000,sequential,0,1,4000000,0.037207,0.014849,0.002174,0.001656,PASS,phoebus
2000,2,0,1,4000000,0.020045,0.008973,0.001504,0.000928,PASS,phoebus
2000,4,0,1,4000000,0.013345,0.006830,0.003156,0.001052,PASS,phoebus
2000,8,0,1,4000000,0.010167,0.005601,0.002294,0.001482,PASS,phoebus
2000,sequential,0,5,4000000,0.039057,0.015398,0.012442,0.008907,PASS,phoebus
2000,2,0,5,4000000,0.019033,0.008604,0.007288,0.004790,PASS,phoebus
2000,4,0,5,4000000,0.010966,0.006487,0.010179,0.003200,PASS,phoebus
2000,8,0,5,4000000,0.009239,0.006886,0.010427,0.008145,PASS,phoebus
2000,sequential,0,10,4000000,0.038020,0.014593,0.028555,0.018284,PASS,phoebus
2000,2,0,10,4000000,0.019868,0.008000,0.014164,0.010381,PASS,phoebus
2000,4,0,10,4000000,0.010308,0.004828,0.012565,0.008318,PASS,phoebus
2000,8,0,10,4000000,0.009577,0.005246,0.013453,0.007495,PASS,phoebus
2000,sequential,50,1,1999134,0.047531,0.020567,0.001104,0.001705,PASS,phoebus
2000,2,50,1,1999134,0.024686,0.012032,0.000738,0.001188,PASS,phoebus
2000,4,50,1,1999134,0.013974,0.008932,0.000710,0.000868,PASS,phoebus
2000,8,50,1,1999134,0.011550,0.006449,0.000787,0.000892,PASS,phoebus
2000,sequential,50,5,1999134,0.047867,0.020640,0.005525,0.008419,PASS,phoebus
2000,2,50,5,1999134,0.023435,0.010423,0.003811,0.004323,PASS,phoebus
2000,4,50,5,1999134,0.014699,0.007124,0.003084,0.004368,PASS,phoebus
2000,8,50,5,1999134,0.010335,0.005978,0.003705,0.004187,PASS,phoebus
2000,sequential,50,10,1999134,0.046504,0.020553,0.011375,0.016746,PASS,phoebus
2000,2,50,10,1999134,0.024373,0.010877,0.006469,0.009391,PASS,phoebus
2000,4,50,10,1999134,0.014952,0.007154,0.005906,0.008701,PASS,phoebus
2000,8,50,10,1999134,0.012015,0.005966,0.007053,0.009721,PASS,phoebus
2000,sequential,90,1,400283,0.027216,0.007897,0.000225,0.001748,PASS,phoebus
2000,2,90,1,400283,0.016261,0.004160,0.000125,0.000995,PASS,phoebus
2000,4,90,1,400283,0.006986,0.002347,0.000100,0.000594,PASS,phoebus
2000,8,90,1,400283,0.007515,0.002956,0.000157,0.000849,PASS,phoebus
2000,sequential,90,5,400283,0.027127,0.007811,0.001118,0.008450,PASS,phoebus
2000,2,90,5,400283,0.013746,0.004269,0.000634,0.004562,PASS,phoebus
2000,4,90,5,400283,0.009158,0.003088,0.000289,0.002758,PASS,phoebus
2000,8,90,5,400283,0.007630,0.014045,0.001111,0.004558,PASS,phoebus
2000,sequential,90,10,400283,0.026491,0.007962,0.002228,0.016935,PASS,phoebus
2000,2,90,10,400283,0.013629,0.004205,0.001106,0.008895,PASS,phoebus
2000,4,90,10,400283,0.006924,0.002503,0.000633,0.005603,PASS,phoebus
2000,8,90,10,400283,0.006625,0.002566,0.001818,0.008494,PASS,phoebus
2000,sequential,95,1,200047,0.023128,0.005746,0.000143,0.001633,PASS,phoebus
2000,2,95,1,200047,0.012096,0.003016,0.000063,0.000919,PASS,phoebus
2000,4,95,1,200047,0.006482,0.002097,0.000039,0.000592,PASS,phoebus
2000,8,95,1,200047,0.006042,0.002392,0.000191,0.000778,PASS,phoebus
2000,sequential,95,5,200047,0.024705,0.006637,0.000611,0.008812,PASS,phoebus
2000,2,95,5,200047,0.012079,0.003131,0.000303,0.004337,PASS,phoebus
2000,4,95,5,200047,0.007432,0.002524,0.000263,0.004368,PASS,phoebus
2000,8,95,5,200047,0.006485,0.002225,0.000829,0.004491,PASS,phoebus
2000,sequential,95,10,200047,0.023284,0.005809,0.001199,0.016640,PASS,phoebus
2000,2,95,10,200047,0.012069,0.003108,0.000612,0.009271,PASS,phoebus
2000,4,95,10,200047,0.007986,0.002539,0.000556,0.008640,PASS,phoebus
2000,8,95,10,200047,0.006858,0.002219,0.001446,0.008298,PASS,phoebus
2000,sequential,99,1,39860,0.022224,0.004180,0.000036,0.001691,PASS,phoebus
2000,2,99,1,39860,0.012103,0.002326,0.000022,0.000911,PASS,phoebus
2000,4,99,1,39860,0.006999,0.002392,0.000017,0.000753,PASS,phoebus
2000,8,99,1,39860,0.006318,0.001973,0.000133,0.000803,PASS,phoebus
2000,sequential,99,5,39860,0.021811,0.005031,0.000158,0.010321,PASS,phoebus
2000,2,99,5,39860,0.010960,0.002597,0.000087,0.005308,PASS,phoebus
2000,4,99,5,39860,0.005601,0.001696,0.000098,0.002730,PASS,phoebus
