n,threads,time_alloc,time_init,time_thread_create,time_compute,time_join,time_reduce,time_verify,time_cleanup,time_total,verification,user
10000,sequential,0.000020,0.000298,0.000000,0.002623,0.000000,0.000000,0.003476,0.000020,0.006437,PASS,ea24205
10000,1,0.000019,0.000298,0.000000,0.002635,0.000000,0.000000,0.003451,0.000001,0.006407,PASS,ea24205
10000,2,0.000020,0.000298,0.000000,0.001731,0.000000,0.000000,0.003448,0.000001,0.005501,PASS,ea24205
10000,4,0.000020,0.000298,0.000000,0.001780,0.000000,0.000000,0.003466,0.000001,0.005568,PASS,ea24205
10000,8,0.000020,0.000299,0.000000,0.002049,0.000000,0.000000,0.003449,0.000001,0.005820,PASS,ea24205
50000,sequential,0.000040,0.001618,0.000000,0.015353,0.000000,0.000000,0.015450,0.000056,0.032518,PASS,ea24205
50000,1,0.000016,0.000701,0.000000,0.006608,0.000000,0.000000,0.008490,0.000046,0.015863,PASS,ea24205
50000,2,0.000017,0.000688,0.000000,0.003770,0.000000,0.000000,0.008524,0.000052,0.013052,PASS,ea24205
50000,4,0.000041,0.001593,0.000000,0.007782,0.000000,0.000000,0.016271,0.000066,0.025757,PASS,ea24205
50000,8,0.000017,0.000694,0.000000,0.002914,0.000000,0.000000,0.008483,0.000045,0.012154,PASS,ea24205
100000,sequential,0.000017,0.001383,0.000000,0.013930,0.000000,0.000000,0.014189,0.000057,0.029576,PASS,ea24205
100000,1,0.000011,0.000813,0.000000,0.008262,0.000000,0.000000,0.010640,0.000050,0.019777,PASS,ea24205
100000,2,0.000010,0.000810,0.000000,0.004736,0.000000,0.000000,0.010957,0.000053,0.016567,PASS,ea24205
100000,4,0.000011,0.000826,0.000000,0.004354,0.000000,0.000000,0.011438,0.000057,0.016687,PASS,ea24205
100000,8,0.000011,0.000809,0.000000,0.003695,0.000000,0.000000,0.010699,0.000047,0.015262,PASS,ea24205
10000,sequential,0.000023,0.000336,0.000000,0.002855,0.000000,0.000000,0.003455,0.000020,0.006689,PASS,ea24205
10000,1,0.000022,0.000335,0.000000,0.002956,0.000000,0.000000,0.003789,0.000000,0.007105,PASS,ea24205
10000,2,0.000021,0.000298,0.000000,0.001728,0.000000,0.000000,0.003456,0.000001,0.005508,PASS,ea24205
10000,4,0.000020,0.000299,0.000000,0.001714,0.000000,0.000000,0.003459,0.000001,0.005496,PASS,ea24205
10000,8,0.000022,0.000301,0.000000,0.002134,0.000000,0.000000,0.003484,0.000001,0.005944,PASS,ea24205
50000,sequential,0.000047,0.001817,0.000000,0.015874,0.000000,0.000000,0.016355,0.000056,0.034150,PASS,ea24205
50000,1,0.000018,0.000711,0.000000,0.006619,0.000000,0.000000,0.008202,0.000039,0.015591,PASS,ea24205
50000,2,0.000015,0.000579,0.000000,0.003162,0.000000,0.000000,0.007120,0.000043,0.010920,PASS,ea24205
50000,4,0.000016,0.000579,0.000000,0.002615,0.000000,0.000000,0.007137,0.000044,0.010392,PASS,ea24205
50000,8,0.000015,0.000577,0.000000,0.002418,0.000000,0.000000,0.007097,0.000037,0.010145,PASS,ea24205
100000,sequential,0.000015,0.001158,0.000000,0.011720,0.000000,0.000000,0.014223,0.000051,0.027167,PASS,ea24205
100000,1,0.000012,0.000880,0.000000,0.008862,0.000000,0.000000,0.010726,0.000049,0.020530,PASS,ea24205
100000,2,0.000012,0.000906,0.000000,0.005116,0.000000,0.000000,0.011308,0.000054,0.017398,PASS,ea24205
100000,4,0.000012,0.000839,0.000000,0.004357,0.000000,0.000000,0.011475,0.000058,0.016742,PASS,ea24205
100000,8,0.000011,0.000878,0.000000,0.003388,0.000000,0.000000,0.011441,0.000058,0.015777,PASS,ea24205
10000,sequential,0.000061,0.000298,0.000000,0.002616,0.000000,0.000000,0.003468,0.000020,0.006463,PASS,ea24205
10000,1,0.000021,0.000297,0.000000,0.002613,0.000000,0.000000,0.003464,0.000001,0.006400,PASS,ea24205
10000,2,0.000021,0.000297,0.000000,0.001724,0.000000,0.000000,0.003469,0.000001,0.005515,PASS,ea24205
10000,4,0.000020,0.000296,0.000000,0.001897,0.000000,0.000000,0.003459,0.000001,0.005676,PASS,ea24205
10000,8,0.000020,0.000298,0.000000,0.001890,0.000000,0.000000,0.003450,0.000001,0.005662,PASS,ea24205
50000,sequential,0.000044,0.001799,0.000000,0.015393,0.000000,0.000000,0.014743,0.000056,0.032036,PASS,ea24205
50000,1,0.000016,0.000692,0.000000,0.006611,0.000000,0.000000,0.008531,0.000046,0.015898,PASS,ea24205
50000,2,0.000017,0.000687,0.000000,0.003757,0.000000,0.000000,0.008479,0.000051,0.012993,PASS,ea24205
50000,4,0.000017,0.000703,0.000000,0.003091,0.000000,0.000000,0.008508,0.000053,0.012373,PASS,ea24205
50000,8,0.000017,0.000689,0.000000,0.002932,0.000000,0.000000,0.008485,0.000046,0.012171,PASS,ea24205
100000,sequential,0.000018,0.001384,0.000000,0.013918,0.000000,0.000000,0.015881,0.000062,0.031263,PASS,ea24205
100000,1,0.000013,0.000908,0.000000,0.009144,0.000000,0.000000,0.010826,0.000047,0.020939,PASS,ea24205
100000,2,0.000039,0.003219,0.000000,0.008792,0.000000,0.000000,0.010940,0.000050,0.023044,PASS,ea24205
100000,4,0.000012,0.000906,0.000000,0.004463,0.000000,0.000000,0.011667,0.000053,0.017102,PASS,ea24205
100000,8,0.000011,0.000837,0.000000,0.003328,0.000000,0.000000,0.010919,0.000135,0.015232,PASS,ea24205
10000,sequential,0.000013,0.000193,0.000000,0.001684,0.000000,0.000000,0.002581,0.000016,0.004487,PASS,ea24205
10000,1,0.000020,0.000298,0.000000,0.002627,0.000000,0.000000,0.003444,0.000001,0.006393,PASS,ea24205
10000,2,0.000019,0.000324,0.000000,0.001807,0.000000,0.000000,0.003519,0.000001,0.005673,PASS,ea24205
10000,4,0.000020,0.000297,0.000000,0.001714,0.000000,0.000000,0.003452,0.000001,0.005487,PASS,ea24205
10000,8,0.000020,0.000298,0.000000,0.001863,0.000000,0.000000,0.003660,0.000001,0.005845,PASS,ea24205
50000,sequential,0.000045,0.001712,0.000000,0.015441,0.000000,0.000000,0.012557,0.000046,0.029801,PASS,ea24205
50000,1,0.000015,0.000578,0.000000,0.005546,0.000000,0.000000,0.006841,0.000033,0.013014,PASS,ea24205
50000,2,0.000014,0.000500,0.000000,0.002734,0.000000,0.000000,0.006148,0.000036,0.009433,PASS,ea24205
50000,4,0.000013,0.000501,0.000000,0.003210,0.000000,0.000000,0.006146,0.000037,0.009908,PASS,ea24205
50000,8,0.000040,0.001634,0.000000,0.006254,0.000000,0.000000,0.017970,0.000073,0.025975,PASS,ea24205
100000,sequential,0.000022,0.001720,0.000000,0.016592,0.000000,0.000000,0.014113,0.000056,0.032503,PASS,ea24205
100000,1,0.000013,0.000939,0.000000,0.009193,0.000000,0.000000,0.010683,0.000050,0.020880,PASS,ea24205
100000,2,0.000012,0.000921,0.000000,0.005121,0.000000,0.000000,0.011297,0.000052,0.017405,PASS,ea24205
100000,4,0.000011,0.000881,0.000000,0.004320,0.000000,0.000000,0.011443,0.000054,0.016710,PASS,ea24205
100000,8,0.000011,0.000886,0.000000,0.003507,0.000000,0.000000,0.011444,0.000066,0.015916,PASS,ea24205
10000,sequential,0.000015,0.000224,0.000000,0.002521,0.000000,0.000000,0.003459,0.000020,0.006240,PASS,ea24205
10000,1,0.000021,0.000300,0.000000,0.002616,0.000000,0.000000,0.003461,0.000001,0.006401,PASS,ea24205
10000,2,0.000020,0.000298,0.000000,0.001734,0.000000,0.000000,0.003446,0.000002,0.005503,PASS,ea24205
10000,4,0.000020,0.000299,0.000000,0.001761,0.000000,0.000000,0.003470,0.000001,0.005554,PASS,ea24205
10000,8,0.000020,0.000298,0.000000,0.002351,0.000000,0.000000,0.003462,0.000001,0.006135,PASS,ea24205
50000,sequential,0.000044,0.001824,0.000000,0.015760,0.000000,0.000000,0.012640,0.000045,0.030313,PASS,ea24205
50000,1,0.000030,0.001217,0.000000,0.009967,0.000000,0.000000,0.008370,0.000040,0.019628,PASS,ea24205
50000,2,0.000015,0.000518,0.000000,0.002843,0.000000,0.000000,0.006376,0.000038,0.009791,PASS,ea24205
50000,4,0.000040,0.001622,0.000000,0.007871,0.000000,0.000000,0.012232,0.000054,0.021823,PASS,ea24205
50000,8,0.000014,0.000585,0.000000,0.002625,0.000000,0.000000,0.007133,0.000038,0.010398,PASS,ea24205
100000,sequential,0.000015,0.001160,0.000000,0.011712,0.000000,0.000000,0.012841,0.000057,0.025785,PASS,ea24205
100000,1,0.000010,0.000797,0.000000,0.008244,0.000000,0.000000,0.010616,0.000048,0.019718,PASS,ea24205
100000,2,0.000040,0.003214,0.000000,0.011747,0.000000,0.000000,0.015254,0.000078,0.030337,PASS,ea24205
100000,4,0.000041,0.003221,0.000000,0.010697,0.000000,0.000000,0.015871,0.000061,0.029896,PASS,ea24205
100000,8,0.000031,0.002418,0.000000,0.009668,0.000000,0.000000,0.023520,0.000090,0.035730,PASS,ea24205
