n,procs,sparsity,reps,nnz,time_csr_construct,time_send,time_spmv,time_csr_total,time_dense_total,verification,user
1000,sequential,0,1,1000000,0.004301,0.003443,0.000550,0.008294,0.001920,PASS,phoebus
1000,2,0,1,1000000,0.003918,0.005224,0.001437,0.010580,0.003151,PASS,phoebus
1000,4,0,1,1000000,0.003593,0.002989,0.000227,0.006809,0.001803,PASS,phoebus
1000,sequential,0,5,1000000,0.004357,0.004833,0.003986,0.013176,0.004125,PASS,phoebus
1000,2,0,5,1000000,0.005381,0.003424,0.003820,0.012626,0.003626,PASS,phoebus
1000,4,0,5,1000000,0.004463,0.003873,0.001430,0.009765,0.002946,PASS,phoebus
1000,sequential,90,1,99877,0.002176,0.000261,0.000061,0.002497,0.002033,PASS,phoebus
1000,2,90,1,99877,0.003907,0.000430,0.000047,0.004383,0.002294,PASS,phoebus
1000,4,90,1,99877,0.002599,0.000827,0.000084,0.003510,0.003093,PASS,phoebus
1000,sequential,90,5,99877,0.002071,0.000271,0.000283,0.002624,0.004519,PASS,phoebus
1000,2,90,5,99877,0.002240,0.000315,0.000207,0.002762,0.002498,PASS,phoebus
1000,4,90,5,99877,0.002881,0.000612,0.000161,0.003655,0.003926,PASS,phoebus
1000,sequential,99,1,9838,0.001088,0.000031,0.000016,0.001134,0.001872,PASS,phoebus
1000,2,99,1,9838,0.001082,0.000077,0.000015,0.001173,0.002063,PASS,phoebus
1000,4,99,1,9838,0.001034,0.000283,0.000022,0.001339,0.002701,PASS,phoebus
1000,sequential,99,5,9838,0.001747,0.000037,0.000055,0.001839,0.003857,PASS,phoebus
1000,2,99,5,9838,0.001793,0.000075,0.000037,0.001906,0.004810,PASS,phoebus
1000,4,99,5,9838,0.001523,0.000181,0.000089,0.001794,0.002246,PASS,phoebus
2000,sequential,0,1,4000000,0.015638,0.014341,0.002810,0.032790,0.008380,PASS,phoebus
2000,2,0,1,4000000,0.015818,0.013451,0.001726,0.030995,0.007640,PASS,phoebus
2000,4,0,1,4000000,0.021745,0.016159,0.001444,0.039348,0.007596,PASS,phoebus
2000,sequential,0,5,4000000,0.015354,0.013141,0.014778,0.043273,0.018214,PASS,phoebus
2000,2,0,5,4000000,0.016090,0.013433,0.006948,0.036471,0.012597,PASS,phoebus
2000,4,0,5,4000000,0.019813,0.016320,0.009635,0.045768,0.011696,PASS,phoebus
2000,sequential,90,1,400283,0.008440,0.001269,0.000334,0.010042,0.009126,PASS,phoebus
2000,2,90,1,400283,0.008505,0.001622,0.000220,0.010347,0.007223,PASS,phoebus
2000,4,90,1,400283,0.010169,0.001682,0.000324,0.012176,0.007088,PASS,phoebus
2000,sequential,90,5,400283,0.008645,0.001300,0.001124,0.011069,0.017241,PASS,phoebus
2000,2,90,5,400283,0.008187,0.001216,0.000593,0.009996,0.013920,PASS,phoebus
2000,4,90,5,400283,0.011233,0.001442,0.000575,0.013249,0.009885,PASS,phoebus
2000,sequential,99,1,39860,0.005964,0.000162,0.000056,0.006181,0.010074,PASS,phoebus
2000,2,99,1,39860,0.005270,0.000154,0.000070,0.005494,0.007635,PASS,phoebus
2000,4,99,1,39860,0.007914,0.000374,0.000042,0.008330,0.009460,PASS,phoebus
2000,sequential,99,5,39860,0.005284,0.000112,0.000173,0.005569,0.016788,PASS,phoebus
2000,2,99,5,39860,0.004449,0.000165,0.000107,0.004721,0.010878,PASS,phoebus
2000,4,99,5,39860,0.007428,0.000338,0.000137,0.007903,0.012899,PASS,phoebus
1000,sequential,0,1,1000000,0.004301,0.003007,0.000790,0.008098,0.001909,PASS,phoebus
1000,2,0,1,1000000,0.004159,0.004216,0.000499,0.008873,0.001816,PASS,phoebus
1000,4,0,1,1000000,0.005890,0.004835,0.000321,0.011047,0.003376,PASS,phoebus
1000,sequential,0,5,1000000,0.004127,0.003218,0.003538,0.010883,0.004967,PASS,phoebus
1000,2,0,5,1000000,0.003460,0.002968,0.001642,0.008069,0.003563,PASS,phoebus
1000,4,0,5,1000000,0.005050,0.003556,0.003234,0.011840,0.002622,PASS,phoebus
1000,sequential,90,1,99877,0.002041,0.000306,0.000061,0.002408,0.001822,PASS,phoebus
1000,2,90,1,99877,0.002064,0.000335,0.000039,0.002437,0.003048,PASS,phoebus
1000,4,90,1,99877,0.002232,0.000558,0.000041,0.002830,0.002071,PASS,phoebus
1000,sequential,90,5,99877,0.002247,0.000299,0.000280,0.002826,0.003583,PASS,phoebus
1000,2,90,5,99877,0.003122,0.000434,0.000270,0.003826,0.005214,PASS,phoebus
1000,4,90,5,99877,0.002964,0.000739,0.000205,0.003908,0.003049,PASS,phoebus
1000,sequential,99,1,9838,0.001862,0.000040,0.000019,0.001922,0.002197,PASS,phoebus
